glass1:0.7325352733686067 K£º2NoiseK:4
pima:0.781533892382949 K£º2NoiseK:6
glass0:0.8164496833216045 K£º2NoiseK:7
yeast1:0.7569046492177824 K£º2NoiseK:5
vehicle1:0.7666762307459981 K£º4NoiseK:4
glass0123vs456:0.9331628787878788 K£º4NoiseK:5
ecoli1:0.9205995475113123 K£º2NoiseK:2
newthyroid1:0.961111111111111 K£º3NoiseK:5
newthyroid2:0.9607142857142857 K£º4NoiseK:4
ecoli2:0.932538733196628 K£º2NoiseK:3
glass6:0.9481981981981982 K£º2NoiseK:5
yeast3:0.9460959225076667 K£º4NoiseK:7
ecoli3:0.9213270882123341 K£º2NoiseK:6
glass016v2:0.7385714285714287 K£º4NoiseK:3
yeast1v7:0.7656178750569995 K£º4NoiseK:3
glass4:0.9025609756097561 K£º2NoiseK:4
glass5:0.9878048780487806 K£º2NoiseK:6
yeast2v8:0.7739130434782608 K£º5NoiseK:2
yeast4:0.892371398003327 K£º3NoiseK:2
yeast6:0.885503605093153 K£º2NoiseK:2
