glass1:0.7866931216931217 K£º3NoiseK:2
pima:0.8294881201956674 K£º2NoiseK:4
glass0:0.8374736101337087 K£º2NoiseK:3
yeast1:0.7847593052430936 K£º4NoiseK:2
vehicle1:0.7330126111614483 K£º2NoiseK:2
glass0123vs456:0.9802083333333333 K£º5NoiseK:3
ecoli1:0.9453261689291101 K£º3NoiseK:5
newthyroid1:1.0 K£º2NoiseK:4
newthyroid2:1.0 K£º3NoiseK:2
ecoli2:0.955516062884484 K£º2NoiseK:2
glass6:0.9635135135135136 K£º4NoiseK:5
yeast3:0.9588756751693607 K£º3NoiseK:6
ecoli3:0.9572053083528493 K£º3NoiseK:3
glass016v2:0.8552380952380952 K£º2NoiseK:2
yeast1v7:0.8094892840857273 K£º2NoiseK:3
glass4:0.9858943089430895 K£º2NoiseK:3
glass5:0.8853658536585366 K£º4NoiseK:2
yeast2v8:0.9091982234689107 K£º5NoiseK:3
yeast4:0.8781389785380916 K£º2NoiseK:4
yeast6:0.9452022431690729 K£º3NoiseK:2
