glass1:0.6162698412698413 K£º9NoiseK:1
pima:0.6862718378756115 K£º4NoiseK:1
glass0:0.6910098522167487 K£º2NoiseK:1
yeast1:0.6556853236169371 K£º2NoiseK:1
vehicle1:0.7106438806671365 K£º8NoiseK:1
glass0123vs456:0.9601325757575758 K£º4NoiseK:2
ecoli1:0.9072021116138764 K£º6NoiseK:1
newthyroid1:0.9833333333333332 K£º9NoiseK:1
newthyroid2:0.986111111111111 K£º4NoiseK:2
ecoli2:0.9102267031214399 K£º9NoiseK:2
glass6:0.9671171171171171 K£º9NoiseK:8
yeast3:0.9294964979988565 K£º7NoiseK:6
ecoli3:0.9302459016393442 K£º3NoiseK:1
glass016v2:0.7711904761904761 K£º4NoiseK:6
yeast1v7:0.8502234382124942 K£º8NoiseK:9
glass4:0.9580487804878048 K£º2NoiseK:3
glass5:0.9878048780487806 K£º2NoiseK:4
yeast2v8:0.7739130434782608 K£º2NoiseK:1
yeast4:0.8741351331595235 K£º7NoiseK:1
yeast6:0.9173291629024835 K£º3NoiseK:1
